CAS	Tm	Tb	Hfus	Hvap	Hf	S0	LFL	UFL	T_flash	T_autoignition	RI	RIT	logP
13721-35-2	1011.15												
13721-39-6	1139.15												
13726-14-2	353.15												
13726-67-5	390.15												
13726-84-6	384.15												
13726-85-7	392.15												
13734-34-4	360.15												
13734-36-6	364.15												
13734-41-3	352.15												
137349-65-6	372.15												
13737-36-5	452.15												
13755-29-8					-1845000								
13764-18-6	337.15												
137654-21-8	364.15												
13768-38-2		320.65											
13768-86-0					-173000								
13769-43-2					-1170000								
137718-84-4	349.15												
13775-53-6	1273.15				-3312000						1.3389		
13788-84-6	415.15												
13790-39-1	459.15												
138-22-7	230.37222	460.92778					0.0115		344.26111		1.421		
138-52-3	472.15												
138-59-0	459.15												
138-86-3	198.9								315.15	528.15			
138-89-6	359.15												
138006-41-4	312.15												
13808-64-5	348.15												
13811-71-7	290.15												
138116-34-4	441.15												
13820-40-1					-835000								
13821-06-2					-2351000								
13826-35-2	279.15												
13838-16-9		329.81667											
13863-88-2						99.2							
138689-79-9	488.15												
13870-29-6	674.05												
138716-37-7	328.15												
13874-77-6	975.15	2306.15											
13880-05-2	409.15												
138825-96-4	407.15												
13889-98-0	305.15												
139-05-9	538.15												
139-45-7										694.26111	1434		
139-59-3	357.15												
139-66-2	233.15												
139-85-5	428.15												
139102-34-4	306.15												
13916-99-9	363.15												
13922-41-3	480.15												
139301-27-2	396.15												
13943-58-3	343.15												
13952-84-6	169.15												
13956-29-1	339.15												
13958-98-0	366.15												
139604-89-0	317.15												
139768-71-1	337.15												
13979-81-2	381.15												
13991-08-7	460.15												
13991-37-2	282.15												
139911-27-6	483.15												
139911-29-8	473.15												
139926-22-0	346.15												
139926-23-1	395.15												
13997-93-8		393.65											
140-10-3	407.15	573.15							433.15				
140-11-4	222.15												
140-28-3	297.15												
140-29-4	249.15												
140-31-8	254.15												
140-53-4	303.15												
140-87-4	381.15												
140-88-5	202.03889	372.59444					0.014	0.14	282.03889				
140-95-4	399.15												
14002-51-8	386.15												
14003-11-3	302.15												
14003-34-0	544.15												
14014-88-1					-184000								
14035-33-7	420.15												
140456-78-6	366.15				-150600								
140480-89-3	432.15												
14062-25-0	303.15												
14062-34-1	365.15												
140675-42-9	380.15												
140675-43-0	429.15												
14068-53-2	473.15												
14075-53-7	803.15												
14091-08-8	533.15												
14098-24-9	317.15												
14098-44-3	353.15												
141-28-6	253.15												
141-30-0	341.15												
141-32-2	209.26111	418.15					0.015	0.099	312.59444				
141-43-5	283.70556	443.70556					0.03	0.235	358.70556	723.15	1.4539		
141-66-2		673.15							366.48333				
141-75-3	184.15												
141-76-4	355.15												
141-78-6	190.37222	350.37222					0.02	0.115	268.70556		1.3723		0.73
141-79-7	226.48333	403.15					0.014	0.072	303.70556				
141-82-2	408.75												
141-84-4	442.15												
141-86-6	393.15												
141-97-9	230.15												
141029-31-4	388.15												
14107-97-2	301.15												
141109-25-3	380.15												
141179-72-8	396.15												
141337-26-0	309.15												
141474-37-5	336.15												
141588-76-3	1783.15												
14167-59-0		756.15											
141699-55-0	313.15												
14178-15-5	381.15												
14180-51-9	362.15												
14186-50-6	390.15												
14187-32-7	435.15												
14191-95-8	342.15												
14199-15-6	330.15												
142-08-5	380.15												
142-09-6	216.15												
142-29-0	138.15												
142-47-2	438.15												
142-61-0	186.15												
142-62-1	269.15												
142-64-3	608.15												
142-68-7	224.15												
142-82-5	182.59444	371.48333					0.0105	0.067	269.26111	496.15			
142-84-7	210.15												
142-91-6	285.15												
142-92-7	193.15												
142-96-1	178.15	415.12											
1421-49-4	481.15												
14210-25-4	396.15												
142253-54-1	343.15												
142253-55-2	375.15												
14227-18-0	425.15												
14227-95-3	346.15												
1423-26-3	437.15												
1423-27-4	382.15												
14237-71-9	372.15												
142646-58-0	335.15												
1427-07-2	308.15												
14280-53-6					-175000								
142818-03-9	474.15												
14290-86-9	482.15												
14294-09-8	401.15												
143-07-7	317.15	572.05											
143-08-8	266.15												
143-10-2	247.03889	513.70556							371.48333				
143-15-7	263.15												
143-16-8	276.15												
143-24-8	243.15												
143-33-9	837.03889	1769.2611											
143071-39-0	386.15												
1431-39-6	493.15												
14315-14-1	307.15												
143262-10-6	320.15												
143418-49-9	550.15												
14348-40-4	420.15												
14348-41-5	450.15												
14348-75-5	475.15												
1435-44-5	247.15												
1435-48-9	250.15												
1435-49-0	272.15												
1435-50-3	307.15												
1435-52-5	307.15												
1436-43-7	368.15												
14371-10-9	265.15	526.15							393.15				
14381-51-2	314.15												
14382-86-6	413.15												
14384-67-9	330.15												
14386-64-2	379.15												
143879-77-0	326.15												
143900-43-0	320.15												
143900-44-1	310.15												
144-19-4	325.15												
144-48-9	366.65												
144-62-7	462.65	373.85			-817380				439.15				
144-80-9	456.15												
1440-61-5	302.15												
144025-03-6	522.15												
144060-98-0	578.15												
144100-07-2	305.15												
144104-59-6	446.15												
1443-76-1	429.15												
1443-80-7	330.15												
14430-23-0	430.15												
14432-12-3	366.15												
14432-16-7	427.15												
14435-88-2	438.15												
14438-32-5	465.15												
1444-05-9	335.15												
1444-65-1	331.15												
14440-78-9	414.15												
144432-85-9	531.15												
14444-77-0	247.15												
14447-18-8	301.15												
144490-03-9	355.15												
1445-39-2	492.15												
1445-79-0		328.85											
14452-34-7	343.15												
144649-99-0	364.15												
14470-28-1	396.15												
14472-14-1	332.15												
14473-91-7	453.15												
1448-36-8	429.15												
14484-69-6	833.15												
1450-14-2	285.15												
1450-23-3	642.15												
1450-63-1	471.15												
1450-72-2	320.15												
1450-74-4	326.15												
145100-50-1	312.15												
145100-51-2	319.15												
1452-77-3	379.15												
145240-28-4	378.15												
145251-89-4	321.15												
1453-82-3	430.15												
14530-33-7	446.15	383.15									1.537		
145349-62-8	473.15												
145349-76-4	378.15												
1454-85-9	327.15												
14548-46-0	343.15												
14548-48-2	381.15												
1455-18-1	233.15												
1455-42-1	472.15												
145689-41-4	391.15												
145691-59-4	381.15												
1457-85-8	340.15												
14572-89-5	343.15												
145742-65-0	296.15												
1458-18-0	505.15												
1459-10-5	282.15												
1459-93-4	342.15												
1460-02-2	344.15												
1460-18-0	387.15												
1460-38-4	322.15												
146137-74-8	332.15												
146137-76-0	317.15												
146140-95-6	543.15												
14618-65-6	447.15												
1462-03-9	310.15												
14630-40-1	295.15												
146533-46-2	382.15												
146533-47-3	443.15												
146539-83-5	360.15												
146575-64-6	303.15												
146631-00-7	469.15												
14670-94-1	374.15												
14678-02-5	356.15												
1468-39-9	208.15												
1468-83-3	333.15												
1468-95-7	436.15												
1469-94-9	393.15												
14691-80-6		523.15			-4747000								
146941-72-2	371.15												
146949-07-7	294.15												
147-71-7	441.15												
147-82-0	393.15												
1470-94-6	326.15												
147031-85-4	447.15												
147123-47-5	394.15												
14719-83-6	353.15												
14720-21-9					-431400								
14762-51-7											1.5443		
14763-60-1	366.15												
1477-42-5	411.15												
1477-55-0	287.59444	520.37222							390.37222				
147754-12-9	345.15												
14779-16-9	395.15												
1478-61-1	433.15												
148-01-6	450.37222												
148-24-3	347.15												
148-53-8	314.15												
148-86-7	361.15												
14804-31-0	341.15												
14804-39-8	360.15												
14807-96-6	1273.15												
1481-02-3	452.15												
1481-27-2	305.15												
1481-32-9	331.15												
1481-93-2	313.15												
1483-28-9	387.15												
1484-09-9	393.15												
1485-70-7	379.15												
148547-19-7	315.15												
1486-51-7	462.15												
14862-52-3	366.15												
14874-86-3	393.15												
14892-14-9	382.15												
149-29-1	383.65												
149-30-4	453.15												
149-57-5	214.15												
149-73-5	220.15												
1490-04-6	302.15												
14906-64-0	450.15												
149082-03-1	340.15												
149104-88-1	473.15												
149105-11-3	449.15												
149105-19-1	493.15												
14919-49-4	559.15												
1492-30-4	339.15												
14920-87-7	301.15												
14922-36-2	383.15												
1493-13-6	233.15												
1493-27-2	265.15												
14938-35-3	297.15												
149437-76-3	416.15												
14947-53-6	407.15												
14977-61-8	176.48333	390.37222											
149771-09-5	453.15												
149794-10-5	361.15												
14984-21-5	422.15												
1499-10-1	524.15												
1499-21-4	293.15												
1499-53-2	332.15												
150-13-0	461.15												
150-19-6	255.15												
150-46-9	188.15												
150-60-7	343.15												
150-61-8	339.15												
150-68-5	446.15												
150-76-5	330.37222	515.92778							405.37222				
150-78-7	329.15												
1501-05-9	400.15												
15016-42-9	379.15												
15016-43-0	401.15												
150190-03-7	462.15												
15027-14-2	330.15												
15029-30-8	361.15												
15029-32-0	360.15												
1503-49-7	385.15												
15049-86-2	555.15												
1505-50-6	389.15												
1505-52-8	422.15												
150517-76-3	327.15												
15055-81-9	322.15												
15082-28-7	410.15												
15084-51-2	355.15												
150965-73-4	333.15												
151-10-0	221.15												
151-21-3	479.15												
151-50-8	907.03889	1898.15											
151-56-4	201.48333	329.26111					0.033	0.548	262.03889				
151-67-7	155.37222	323.15											
15102-42-8	406.15												
15104-46-8	354.15												
151169-74-3	511.15												
151169-75-4	545.15												
15118-67-9	324.15												
15119-34-3	459.15												
15120-17-9	878.15												
151226-26-5	381.15												
15128-82-2	344.15												
15128-90-2	380.15												
1513-45-7	420.15												
1513-69-5	563.15												
151414-47-0	312.15												
1515-72-6	307.15												
15164-44-0	350.15												
15166-26-4	335.15												
1517-63-1	325.15												
15181-11-0	305.15												
15190-10-0	342.15												
15192-26-4	402.75												
151982-51-3	298.15												
152-16-9	290.15												
152-58-9	481.15												
1520-21-4	297.15												
1520-50-9	262.15												
15205-66-0	302.15												
1521-38-6	396.15												
1522-13-0	354.15												
1523-11-1	342.15												
15231-91-1	401.15												
15232-76-5	169.15												
152434-88-3	385.15												
152487-69-9	413.15												
15258-73-8	370.15												
1526-17-6	366.15												
15260-83-0	482.65												
152699-63-3	390.15												
1527-89-5	296.15												
1527-91-9	392.15												
1528-41-2	365.15												
1529-41-5	285.15												
153-78-6	401.15												
1530-03-6	287.15												
153034-86-7	316.15												
153034-88-9	380.15												
1531-77-7	360.15												
153153-41-4	456.15												
1532-72-5	377.15												
1532-97-4	314.15												
153220-48-5	362.65												
1532554-02-1	580.65												
1533-03-5	292.15												
1533-20-6	343.15												
15341-08-9	396.15												
15351-13-0	408.15												
153556-42-4	485.15												
1536-23-8	311.15												
15374-45-5	435.15												
1539-04-4	470.15												
1539-06-6	499.15												
154237-70-4	394.15												
154257-75-7	449.15												
15429-18-2	532.15												
1544-68-9	299.15												
1544-86-1	307.15												
154594-15-7	558.15												
1546-80-1	443.15												
154607-01-9	343.15												
15469-97-3	495.15												
1547-29-1	432.15												
1547-36-0	360.15												
1550-35-2	276.15												
155020-51-2	312.15												
1552-42-7	455.15												
1552-94-9	438.15												
155377-19-8	417.15												
155632-41-0	396.15												
15573-38-3	297.15												
155814-17-8	403.15												
15587-05-0	577.15												
156-28-5	491.65												
156-38-7	422.15												
156-43-4	276.15												
156-59-2	193.15	213.15					0.03	0.15	279.15	733.15	1.449		1.86
156-60-5	223.35	320.79					0.06	0.13	275.15	733.15	1.4454		1.93
156-62-7	1613.15												
156-83-2	474.15												
156-87-6	284.15												
1560-11-8	392.15												
1560-89-0		586											
1561-48-4	301	552							385		1.477		
1563-66-2	424.26111												
1564-64-3	373.15												
15646-46-5	368.15												
156682-54-1	396.15												
1568-70-3	352.15												
1569-02-4	173.15												
1569-69-3	154.81667	430.92778							316.48333				
15690-24-1	415.15												
157-06-2	508.15												
157-40-4	138.55												
1570-64-5	320.15												
1571-08-0	334.15												
1571-30-8	492.15												
1571-33-1	434.15												
157101-77-4	400.15												
1572-10-7	399.15												
1573-17-7	301.15												
15733-83-2	470.15												
1574-32-9		983.15											
15752-46-2	954.15	1804.15											
1576-47-2	492.15												
15761-38-3	352.65												
15761-39-4	407.15												
15764-16-6	264.15												
157652-31-8	427.15												
1577-18-0	284.15												
1578-63-8	353.15												
157831-75-9	342.15												
15801-69-1	308.15												
158063-66-2	421.15												
1582-24-7	526.15												
15822-77-2	350.15												
15829-53-5					91300								
158296-69-6	402.15												
1583-58-0	461.15												
15845-62-2	318.15												
1585-16-6	313.15												
1585-17-7	379.15												
15854-08-7	379.15												
15854-11-2	348.15												
15854-87-2	371.15												
15861-24-2	379.15												
15861-36-6	403.15												
15862-34-7	520.15												
15863-41-9	323.15												
15872-41-0	396.15												
15872-42-1	366.15												
15872-43-2	416.15												
15879-93-3	456.15												
1588-89-2	394.15												
1589-60-2	333.15												
1589-62-4	432.15												
15903-94-3	388.15												
15909-92-9	346.15												
1591-30-6	507.15												
1591-31-7	385.15												
1591-98-6	322.15												
159191-44-3	459.15												
15930-53-7	402.15												
1594-56-5	412.15												
15945-07-0	342.15												
15952-61-1	389.15												
15965-30-7	454.15												
15965-54-5	440.15												
1597-32-6	333.15												
15971-29-6	307.15												
15988-11-1	481.15												
16004-15-2	353.15												
16012-70-7	477.15												
16013-85-7	337.15												
160233-28-3	375.15												
1603-40-3	304.15												
1603-41-4	349.15												
1603-91-4	317.15												
16034-46-1	497.15												
160446-22-0	438.15												
1606-67-3	391.15												
16066-91-4	372.15												
16069-36-6	323.15												
1607-57-4	387.15												
16070-92-1	496.65												
16078-37-8	364.65												
16078-71-0	373.15												
1608-26-0	229.15												
16089-45-5	528.65												
16097-62-4	451.15												
1611-03-6	429.15												
1611-07-0	384.15												
1611-92-3	312.15												
16110-09-1	334.15												
16114-47-9	380.15												
16116-80-6	429.15												
161265-03-8	499.15												
161282-57-1	324.15												
16135-36-7	446.15												
16143-84-3	434.15												
16152-51-5	416.15												
16153-81-4	365.15												
161622-05-5	377.15												
161712-75-0	324.15												
16188-55-9	373.15												
1619-34-7	494.15												
161950-10-3	513.15												
161957-56-8	442.15												
1620-98-0	461.15												
16200-53-6	379.15												
16213-85-7	301.15												
16225-26-6	434.15												
162258-89-1	415.15												
1623-08-1	353.15												
1623-92-3	317.15												
1623-93-4	388.15												
162333-02-0	311.15												
1624-01-7	288.15												
1625-91-8	401.15												
162607-18-3	411.15												
16265-04-6	439.15												
16271-33-3	327.15												
16298-03-6	444.15												
1630-94-0		293.75											
1631-25-0	363.15												
1631-26-1	342.15												
163105-89-3	406.15												
163105-90-6	410.15												
1632-19-5	484.15												
1632-83-3	334.15												
163295-75-8	377.15												
1633-22-3	559.15												
1633-44-9	353.15												
1634-04-4	164.55	328.35							245.15		1.369		
1634-82-8	479.15												
163444-17-5	324.15												
16347-60-7	412.15												
1635-31-0	409.15												
1635-61-6	399.15												
1635-84-3	340.15												
163517-62-2	422.15												
16355-92-3	303.15												
16357-59-8	338.15												
16357-69-0	528.15												
1636-27-7	428.15												
163733-96-8	333.15												
1638-22-8	295.15												
16382-15-3	436.15												
16382-18-6	450.15												
1639-09-4	229.81667	450.37222							319.26111				
1640-39-7	280.15												
16400-13-8	354.15												
16409-43-1		455.15									1.4666		
1641-17-4	372.15												
1641-40-3	303.15												
16413-26-6	326.15												
164149-28-4	489.15												
16419-60-6	436.15												
1642-81-5	474.15												
1643-15-8	377.15												
1643-16-9	359.15												
1643-28-3	369.15												
1643-30-7	408.15												
16433-88-8	439.15												
1644-68-4	271.15												
1645-65-4	314.15												
16452-01-0	331.15												
1646-26-0	344.15												
1646-53-3	333.15												
16461-94-2	409.15												
16475-90-4	333.15												
16485-10-2	341.15												
16498-81-0	422.15												
1651-29-2	425.15												
16518-62-0	284.15												
1653-30-1	275.15												
1653-31-2	298.15												
16532-79-9	320.15												
16534-12-6	543.15												
165534-43-0	347.15												
165547-79-5	496.15												
1656-44-6	375.15												
165669-16-9	486.15												
16582-94-8	406.15												
16588-02-6	379.15												
16588-06-0	425.15												
16588-15-1	452.15												
16588-16-2	327.15												
16588-34-4	336.15												
16600-92-3	462.15												
16617-46-2	448.15												
1662-01-7	493.15												
16629-19-9	303.15												
1663-39-4	204.15												
1663-45-2	414.15												
166316-48-9	420.15												
16634-88-1	399.15												
166386-48-7	443.15												
1664-54-6	373.15												
166410-05-5	339.15												
16642-92-5	505.15												
16672-87-0	343.15												
16687-61-9	536.15												
16689-02-4	317.15												
166964-36-9	342.15												
166964-37-0	377.15												
1670-49-1	414.15												
1670-81-1	483.15												
1671-49-4	394.15												
16712-64-4	522.15												
16712-69-9	283.15												
16713-66-9	453.15												
16718-05-1	389.15												
16721-80-5	623.15												
16727-44-9	359.15												
1673-47-8	431.15												
167415-27-2	329.15												
16752-77-5	350.92778												
1676-63-7	310.15												
1676-73-9	442.15												
16766-30-6	290.15												
167678-46-8	306.15												
1678-49-5	426.15												
1678-93-9	195.15												
16789-84-7	422.15												
1679-18-1	546.15												
16801-63-1	355.15												
1681-37-4	476.15												
1682-20-8	359.15												
168267-99-0	507.15												
1684-14-6	399.15												
16842-03-8	247.03889												
16851-82-4	362.15												
168618-42-6	433.15												
16867-03-1	443.15												
16869-24-2	323.15												
1687-53-2	404.15												
16872-11-0	183.15	403.15											
16879-02-0	403.15												
168899-58-9	423.15												
1689-64-1	429.15												
1689-83-4	477.15												
16893-85-9	1119.15				-2913000								
16898-52-5	339.15												
169037-23-4	444.15												
169205-96-3	353.15												
16921-30-5	523.15										1.825		
16925-25-0	623.15												
16932-45-9	366.15												
1694-31-1	235.15												
1694-92-4	340.15												
16940-66-2	778.15				-190000								
1696-17-9	303.15												
1696-20-4	283.15												
169677-20-7	320.15												
16982-21-1	336.15												
1700-10-3	220.15												
1700-29-4	342.15												
1700-30-7	322.15												
1700-37-4	329.15												
1701-18-4	483.15												
1701-19-5	401.15												
1701-20-8	526.15												
1701-24-2	305.15												
17014-71-0					-443000								
170161-27-0	324.15												
170229-98-8	453.15												
170230-87-2	336.15												
17027-51-9	325.15												
17028-61-4	413.15												
170449-34-0	351.15												
170487-40-8	416.15												
170572-49-3	320.15												
1707-03-5	468.15												
170737-93-6	315.15												
17082-12-1	340.15												
17082-47-2	213.15												
17088-37-8	365.65	458.08							324.617		1.382		
17102-63-5	341.15												
17102-64-6	304.15												
1711-02-0	336.15												
1711-06-4	250.15												
1711-07-5	243.15												
1711-10-0	297.15												
171197-80-1	305.15												
1712-64-7	190.65	374.65											
17138-28-2	310.15												
1714-29-0	368.15												
17147-85-2	396.15												
17153-20-7	459.15												
17174-98-0	446.15												
1719-53-5	176.15												
1719-57-9	198.15	388.15									1.436		
1719-83-1	633.15												
17194-00-2	351.15	1053.15											
17194-82-0	447.15												
17200-29-2	317.15												
17201-43-3	388.15												
1721-93-3	283.15												
17213-57-9	316.15												
17213-58-0	417.15												
1722-10-7	364.15												
1722-12-9	339.15												
1722-14-1	352.15												
17228-67-0	444.15												
17228-70-5	596.15												
1724-39-6	351.15												
17249-77-3	257.15												
17252-51-6	328.15												
17257-71-5	317.15												
1726-94-9	408.15												
17260-71-8	419.15												
17261-28-8	451.15												
17266-30-7	427.15												
17282-00-7	345.15												
17282-02-9	430.15												
17284-97-8	410.15												
17289-20-2	330.15												
17295-26-0	494.15												
172975-69-8	509.15												
1730-37-6	358.15												
17302-46-4	389.15												
17302-82-8	384.15												
1731-79-9	303.15												
1731-86-8	263.15												
1732-10-1	291.15												
173315-54-3	461.15												
17336-15-1	429.15												
17341-93-4	274.15												
17348-69-5	320.15												
17348-71-9	340.15												
1735-54-2	339.15												
17354-04-0	384.15												
173550-97-5	446.15												
17356-19-3	298.15												
17359-82-9	380.9												
1736-87-4	314.15												
17362-17-3	329.15												
1737-36-6	437.15												
1737-62-8	398.15												
1737-68-4	317.15												
1737-93-5	298.15												
17372-52-0	410.15												
17377-95-6	322.15												
1738-25-6	228.70556	445.37222							337.03889				
1739-84-0	310.15												
17408-14-9	289.15												
17408-16-1	374.15												
17417-09-3	344.15												
17420-30-3	482.15												
17422-32-1	344.15												
17422-33-2	362.15												
17422-74-1	425.15												
1745-81-9	267.15												
17455-13-9	312.15												
1746-01-6	578.15												
1746-23-2	235.15												
174669-73-9	445.15												
174669-74-0	405.15												
1747-60-0	436.15												
17481-06-0	425.15												
17481-27-5	431.15												
174824-16-9	308.15												
175135-04-3	422.15												
175135-07-6	459.15												
175135-09-8	371.15												
175135-19-0	417.15												
175135-22-5	434.15												
175135-25-8	420.15												
175135-26-9	420.15												
175135-56-5	404.15												
175136-34-2	352.15												
175136-60-4	315.15												
175136-62-6	373.15												
175136-66-0	413.15												
175137-35-6	381.15												
175137-62-9	357.15												
1752-96-1	393.15												
175201-56-6	327.15												
175202-48-9	391.15												
175203-60-8	379.15												
175204-06-5	365.15												
175204-12-3	343.15												
175204-17-8	369.15												
175204-21-4	364.15												
175204-32-7	432.15												
175205-10-4	457.15												
175205-12-6	454.15												
175205-19-3	362.15												
175205-50-2	352.15												
175205-54-6	310.15												
175205-76-2	321.15												
175205-82-0	311.15												
175205-85-3	455.15												
175276-94-5	359.15												
175277-97-1	317.15												
175277-98-2	353.15												
175278-10-1	344.15												
175278-18-9	409.15												
17534-15-5	296.15												
17537-64-3	419.15												
17564-64-6	406.15												
175676-65-0	392.15												
1757-42-2	215.15												
1758-25-4	397.15												
17584-12-2	484.15												
175883-62-2	488.15												
175883-63-3	500.15												
1759-28-0	258.15												
175968-39-5	480.15												
17601-94-4	461.15												
1761-61-1	378.15												
17614-74-3	338.15												
1762-34-1	389.15												
176225-09-5	323.15												
176225-10-8	329.15												
17625-83-1	402.15												
17635-21-1	366.15												
17635-44-8	459.15												
17639-64-4	374.15												
17649-59-1	327.65												
1765-40-8	292.15												
1765-93-1	536.15												
176548-70-2	416.15												
17673-25-5									586.95		1.648		
17680-55-6	307.15												
17689-77-9	281.15												
17696-11-6	312.15												
17700-09-3	328.15												
17700-54-8	454.15												
17702-41-9	372.59444	485.92778							353.15				
17712-38-8											1.5014		
17715-69-4	298.15												
1775-27-5	311.15												
1775-95-7	440.15												
17754-90-4	335.15												
1776-37-0	384.15												
17763-80-3	325.15												
17768-36-4	400.15												
1777-82-8	332.15												
177760-52-0	399.15												
1778-09-2	354.15												
17783-69-6	393.15												
177858-80-9	497.15												
1779-10-8	524.15												
1779-48-2	357.15												
1779-81-3	353.15												
177985-32-9	377.15												
178176-80-2	464.15												
178305-99-2	519.15												
178374-78-2	403.15												
17849-38-6	343.15												
1785-95-1	381.15												
1788-10-9	357.15												
1788-31-4	396.15												
1789-33-9	483.15												
17890-56-1	373.15												
178974-97-5	467.15												
179057-20-6	482.15												
179113-89-4	331.15												
179113-90-7	353.15												
1792-17-2	345.15												
1793-07-3	320.15												
17933-03-8	434.15												
1794-86-1	310.65	401.15											
17965-75-2	460.15												
1798-06-7	411.15												
1798-09-0	343.15												
179897-89-3	352.15												
179897-90-6	359.15												
179923-32-1	526.15												
18000-76-5	404.15												
18002-26-1	373.15												
1801-10-1	397.15												
18039-26-4	342.15												
1805-32-9	311.15												
1806-26-4	318.15												
1806-29-7	382.15												
1806-34-4	515.15												
18063-03-1	420.15												
180918-40-5	343.15												
18113-03-6	315.15												
1813-33-8	356.15												
18156-74-6	231.15												
18162-48-6	361.15												
1817-73-8	425.15												
18179-39-0	342.15												
18190-44-8	333.15												
1820-80-0	310.15												
1821-12-1	324.15												
1821-36-9	288.15												
18212-21-0	458.15												
182163-96-8	518.15												
182198-35-2	403.15												
182344-16-7	458.15												
1824-81-3	316.15												
1824-94-8	450.15												
182482-25-3	508.15												
1825-00-9	443.15												
1825-62-3	190.15												
1826-16-0	327.15												
1826-28-4	428.15												
18261-42-2	475.15												
1827-27-6	364.15												
18278-34-7	431.15												
18282-10-5		2773.15			-577630								
18282-51-4	346.15												
18282-59-2	297.15												
18294-87-6	306.15												
1830-54-2	290.15												
18306-29-1	319.15												
183065-68-1	476.15												
183158-34-1	448.15												
183208-35-7	452.15												
183237-86-7	393.15												
183428-90-2	438.15												
183438-24-6	374.15												
18344-51-9	533.15												
1835-11-6	359.15												
18355-75-4	389.15												
18358-63-9	368.15												
1836-75-5	344.15	453.15											
183802-98-4	330.15												
18395-90-9	258.15												
184000-11-1	463.15												
18422-53-2	375.15												
1843-05-6	321.15												
18437-78-0	353.15												
18456-87-6	353.15												
1846-73-7	367.15												
1846-76-0	367.15												
18479-58-8									349.15				
1849-27-0	450.15												
184970-25-0	321.15												
18502-05-1	410.15												
1851-09-8	444.15												
18514-46-0	387.15												
185147-08-4	328.15												
18523-22-3	324.15												
18527-19-0	353.15												
18527-21-4	307.15												
185346-79-6	307.15												
18549-40-1	433.15												
18594-05-3	341.15												
18595-18-1	388.15												
1861-32-1	430.15												
18622-23-6	467.15												
186306-70-7	319.15												
18640-58-9	392.15												
186405-37-8	417.15												
18643-08-8	303.15												
1865-01-6	345.15												
186517-41-9	370.15												
18657-57-3	396.15												
186584-73-6	302.15												
186590-36-3	435.15												
1868-00-4	374.15												
1868-88-8	445.15												
18686-82-3	416.15												
1869-24-5	455.15												
18698-73-2	352.15												
18698-96-9	389.15												
18698-97-0	379.15												
18704-37-5	402.15												
18704-67-1	430.15												
18706-21-3	552.15												
18706-22-4	412.15												
18706-35-9	335.15												
18708-70-8	344.15												
1871-76-7	326.15												
1871-96-1	279.15												
18711-13-2	521.15												
18720-65-5	181.95												
1873-55-8	362.15												
1874-23-3	353.15												
1874-42-6	373.15												
187543-87-9	332.15												
187543-89-1	328.15												
1877-72-1	495.15												
1877-73-2	392.15												
1877-75-4	384.15												
1877-77-6	366.15												
1878-49-5	427.15												
1878-65-5	352.15												
1878-66-6	378.15												
1878-67-7	374.15												
1878-68-8	390.15												
1878-69-9	403.15												
1878-81-5	446.15												
1878-84-8	429.15												
1878-85-9	393.15												
1878-87-1	431.15												
1878-94-0	430.15												
18787-64-9	316.15												
18791-75-8	319.15												
18791-98-5	322.15												
1882-69-5	406.15												
1884-68-0	455.15												
1885-14-9	235.15												
1885-29-6	320.15												
1885-35-4	366.15												
1885-38-7	292.15												
188582-62-9	305.15												
18868-43-4					-589300								
1887-60-1	357.15												
1888-71-7	200.15												
18880-00-7	283.15												
188815-32-9	493.15												
1889-71-0	378.15												
18896-56-5	459.15												
1891-90-3	457.15												
18912-37-3	349.15												
1892-29-1	298.15												
1892-43-9	303.15												
189278-27-1	323.15												
189283-51-0	451.15												
18942-49-9	360.15												
1896-62-4	313.15												
189628-38-4	390.15												
18967-42-5	300.15												
1897-52-5	303.15												
18970-30-4	339.15												
18979-55-0	319.15												
18982-44-0	348.15												
18982-54-2	353.15												
1899-24-7	357.15												
1899-48-5	529.15												
190-26-1	746.15												
190011-87-1	318.15												
19012-03-4	342.15												
19013-10-6	343.15												
19013-11-7	439.15												
1904-58-1	396.15												
1904-98-9	575.15												
19047-31-5	355.15												
19056-40-7	371.15												
19064-64-3	360.15												
190661-29-1	371.15												
190774-55-1	381.15												
19088-74-5					-962000								
19094-56-5	432.15												
19099-48-0	345.15												
19099-93-5	313.15												
191-33-3		784.904							527.345				
191014-55-8	349.15												
191157-01-4	453.15												
19116-90-6	420.15												
1912-24-9	444.26111												
19155-25-0	423.65												
1916-07-0	356.15												
1916-08-1	469.15												
191604-88-3	337.15												
19164-41-1	370.15												
19172-47-5	496.15												
19179-31-8	361.15												
19179-36-3	461.15												
1918-13-4	424.15												
1918-77-0	336.15												
1918-79-2	410.15												
19197-73-0	933.15												
19199-82-7	359.15												
1921-70-6		569.15											
19241-38-4	318.15												
19246-04-9	346.15												
192702-79-7	308.15												
19287-45-7	108.15	180.37222			36400	232	0.008	0.88					
1929-29-9	377.15												
1929-82-4	335.92778												
192944-51-7	396.15												
1930-72-9	414.15												
193090-60-7	300.15												
19312-06-2	295.15												
19335-11-6	448.15												
19338-12-6	515.15												
19353-92-5	448.15												
1937-62-8	283.15												
1939-99-7	365.15												
19393-92-1	334.15												
19398-61-9	278.15												
1940-57-4	376.15												
19404-18-3	308.15												
19406-86-1	402.15												
19407-42-2	490.15												
19408-84-5									527.75		1.51		
1942-31-0	374.15												
19434-35-6	328.15												
19438-10-9	344.15												
19463-48-0	437.15												
1947-47-3	544.15												
19471-12-6	355.15												
19472-74-3	292.15												
1948-40-9	474.15												
